id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22224072,Beautiful & Modern in the Heart of East Village,13097902,Bruna,Manhattan,East Village,40.72652,-73.98966,Entire home/apt,250,2,29,2019-06-30,1.58,1,38
3923128,Sunny 1-BR Apt with Soaking Tub,13347167,AFI Apartments,Manhattan,Upper East Side,40.77237,-73.95536,Entire home/apt,118,30,3,2018-08-31,0.1,29,282
10083881,Well Equipped One-Bedroom Apartment,51743699,Oliver,Manhattan,Morningside Heights,40.80986,-73.95945,Entire home/apt,100,1,1,2015-12-23,0.02,1,0
16174929,Cosy Room in Williamsburg House,22432953,Charles-Hugo,Brooklyn,Williamsburg,40.70816,-73.94821999999999,Private room,55,4,3,2017-05-05,0.1,1,0
35706150,Shared Spaces in Candlelight;Quiescence w Relaxing,175730239,Baboucarr,Queens,Sunnyside,40.74064,-73.92871,Shared room,30,3,0,,,12,351
35202605,Modern Manhattan 2 bedroom apartment,78201197,Maggie,Manhattan,East Harlem,40.7923,-73.94613000000001,Entire home/apt,250,2,4,2019-06-30,3.75,1,44
13604794,Quiet room in Central Harlem,27123110,Angel,Manhattan,Harlem,40.80372,-73.95036,Private room,65,3,2,2018-08-23,0.18,1,0
10798553,Gorgeous Greenpoint:  Sublet April 10th - 27th,798949,Rachel,Brooklyn,Greenpoint,40.7254,-73.95246,Entire home/apt,99,10,0,,,1,0
8101762,Spacious & sunny 1 bdrm w views,16420179,Natasha,Brooklyn,Columbia St,40.68274,-74.00433000000001,Entire home/apt,125,2,2,2015-09-28,0.04,1,0
21578157,Quaint and Large midtown 1Bed next to Empire state,156921633,Jamie,Manhattan,Kips Bay,40.74128,-73.98069,Entire home/apt,275,2,93,2019-06-18,4.61,1,66
258690,CHELSEA 1 Bdrm Plus Sleeping Loft!!,1359611,Andrea,Manhattan,Chelsea,40.74618,-74.00392,Entire home/apt,195,365,10,2014-10-26,0.12,1,0
36280858,"【Brooklyn N, R地铁口 45街阳光主卧7月短租】限女生,Only girls",122963021,莹,Brooklyn,Sunset Park,40.65012,-74.00867,Private room,30,7,0,,,1,190
